,name,losses,wins
245,Stanislas Wawrinka,"['Novak Djokovic', 'Rafael Nadal', 'Novak Djokovic', 'Richard Gasquet', 'Nick Kyrgios', 'Robin Haase', 'Adrian Mannarino', 'Roger Federer', 'Kevin Anderson', 'Novak Djokovic', 'Grigor Dimitrov', 'Roger Federer', 'Grigor Dimitrov', 'Philipp Kohlschreiber', 'Sergiy Stakhovsky', 'Federico Delbonis', 'Ivo Karlovic', 'Rafael Nadal', 'Roger Federer']","['Radek Stepanek', 'Tatsuma Ito', 'Austin Krajicek', 'Gilles Muller', 'Benoit Paire', 'Borna Coric', 'Ivo Karlovic', 'Viktor Troicki', 'Marin Cilic', 'Bernard Tomic', 'Viktor Troicki', 'Rafael Nadal', 'Joao Sousa', 'Victor Estrella', 'Fernando Verdasco', 'David Goffin', 'Jesse Huta Galung', 'Guillermo Garcia Lopez', 'Gilles Muller', 'Milos Raonic', 'Tomas Berdych', 'Borna Coric', 'Gilles Muller', 'David Goffin', 'Aljaz Bedene', 'Carlos Berlocq', 'Albert Ramos', 'Hyeon Chung', 'Ruben Bemelmans', 'Donald Young', 'Kevin Anderson', 'Nick Kyrgios', 'Marsel Ilhan', 'Marius Copil', 'Jarkko Nieminen', 'Guillermo Garcia Lopez', 'Kei Nishikori', 'Joao Sousa', 'Juan Monaco', 'Dominic Thiem', 'Rafael Nadal', 'Juan Monaco', 'Dustin Brown', 'Benoit Paire', 'Lukas Rosol', 'Marsel Ilhan', 'Dusan Lajovic', 'Steve Johnson', 'Gilles Simon', 'Roger Federer', 'Jo Wilfried Tsonga', 'Novak Djokovic', 'David Ferrer', 'Andy Murray']"
246,Stefan Kozlov,"['Jared Donaldson', 'Tim Smyczek']",['Bye']
247,Stephane Robert,"['Thomaz Bellucci', 'Marcel Granollers', 'Leonardo Mayer', 'Nicolas Almagro', 'Viktor Troicki', 'Kyle Edmund']",['Joao Souza']
248,Steve Darcis,"['Richard Gasquet', 'Jurgen Melzer', 'Feliciano Lopez', 'Novak Djokovic', 'Roger Federer', 'Marcos Baghdatis', 'Pablo Cuevas', 'Santiago Giraldo', 'Gael Monfils', 'Paolo Lorenzi', 'Simone Bolelli']","['Adrian Mannarino', 'Malek Jaziri', 'Gilles Muller', 'Marcos Baghdatis', 'Daniel Gimeno Traver', 'Jerzy Janowicz', 'Tatsuma Ito', 'Jarkko Nieminen']"
249,Steve Johnson,"['Marin Cilic', 'Andy Murray', 'Grigor Dimitrov', 'David Goffin', 'John Isner', 'Tomas Berdych', 'Mikhail Kukushkin', 'Kevin Anderson', 'Kei Nishikori', 'Florian Mayer', 'Fabio Fognini', 'David Ferrer', 'Tatsuma Ito', 'Sergiy Stakhovsky', 'Kei Nishikori', 'Kevin Anderson', 'Roberto Bautista Agut', 'Pierre Hugues Herbert', 'John Isner', 'Ricardas Berankis', 'Rafael Nadal', 'Fabio Fognini', 'John Isner', 'Sam Querrey', 'Kevin Anderson', 'Ivo Karlovic', 'Stanislas Wawrinka']","['Bernard Tomic', 'Andreas Seppi', 'Lukas Lacko', 'Michael Venus', 'Marcel Granollers', 'Ivo Karlovic', 'Filip Krajinovic', 'Dustin Brown', 'Marinko Matosevic', 'Bernard Tomic', 'Alexandr Dolgopolov', 'Jerzy Janowicz', 'Kevin Anderson', 'Ernests Gulbis', 'Michael Berrer', 'Kyle Edmund', 'Santiago Giraldo', 'Ivan Dodig', 'Martin Klizan', 'Feliciano Lopez', 'Guillermo Garcia Lopez', 'Samuel Groth', 'Jo Wilfried Tsonga', 'Yen Hsun Lu', 'Lukas Lacko', 'Bernard Tomic', 'Grigor Dimitrov', 'Jack Sock', 'Lukas Lacko', 'Alejandro Gonzalez', 'Donald Young', 'Joao Sousa', 'Pablo Carreno Busta', 'Mikhail Kukushkin', 'Andrey Rublev', 'Guillermo Garcia Lopez', 'Sergiy Stakhovsky']"
250,Takuto Niki,['Yan Bai'],['Bye']
251,Taro Daniel,"['Guillermo Garcia Lopez', 'Jerzy Janowicz', 'Paul Henri Mathieu', 'Nicolas Almagro', 'Fernando Verdasco']",['Michal Przysiezny']
252,Tatsuma Ito,"['Stanislas Wawrinka', 'Nick Kyrgios', 'Guillermo Garcia Lopez', 'Malek Jaziri', 'Bernard Tomic', 'Ivo Karlovic', 'John Patrick Smith', 'Martin Klizan', 'Steve Darcis', 'Marsel Ilhan', 'Fabio Fognini']","['Yoshihito Nishioka', 'Jarkko Nieminen', 'Ramkumar Ramanathan', 'Matthew Ebden', 'Alejandro Gomez GB42', 'Ricardas Berankis', 'Noah Rubin', 'Steve Johnson']"
253,Taylor Harry Fritz,['Feliciano Lopez'],['Pablo Carreno Busta']
254,Teymuraz Gabashvili,"['Thomaz Bellucci', 'Kei Nishikori', 'Pablo Cuevas', 'Alexander Zverev', 'Juan Monaco', 'Milos Raonic', 'Ivan Dodig', 'Andreas Seppi', 'Marcos Baghdatis', 'Ivo Karlovic', 'Malek Jaziri', 'Ricardas Berankis', 'Fernando Verdasco', 'Evgeny Donskoy', 'Fernando Verdasco', 'Federico Delbonis', 'Roberto Bautista Agut', 'Jack Sock', 'Alexandr Dolgopolov', 'Marin Cilic', 'Kei Nishikori']","['Pablo Carreno Busta', 'Andrey Kuznetsov', 'Pablo Andujar', 'Pablo Andujar', 'Thanasi Kokkinakis', 'Benjamin Becker', 'Andy Murray', 'Cem Ilkel', 'Viktor Troicki', 'Tim Smyczek', 'John Isner', 'Yaraslau Shyla', 'Leonardo Mayer', 'Feliciano Lopez', 'Juan Monaco', 'Lukas Rosol']"
255,Thanasi Kokkinakis,"['Jeremy Chardy', 'Richard Gasquet', 'Dusan Lajovic', 'Leonardo Mayer', 'Bernard Tomic', 'Carlos Berlocq', 'Denis Kudla', 'Bernard Tomic', 'Richard Gasquet', 'Gilles Simon', 'Samuel Groth', 'Dusan Lajovic', 'Teymuraz Gabashvili', 'Sam Querrey', 'Marcel Granollers', 'Ivo Karlovic', 'Novak Djokovic']","['Fabio Fognini', 'Jan Lennard Struff', 'Guillermo Garcia Lopez', 'Juan Monaco', 'Julien Benneteau', 'Jeremy Chardy', 'Ernests Gulbis', 'Alexandr Dolgopolov', 'Filip Krajinovic', 'Nikoloz Basilashvili', 'Bernard Tomic']"
256,Thiemo De Bakker,"['Elias Ymer', 'Jarkko Nieminen', 'David Ferrer', 'Luca Vanni', 'David Ferrer']","['Guilherme Clezar', 'Juan Monaco']"
257,Thomas Fabbiano,"['Andreas Haider Maurer', 'Janko Tipsarevic', 'Richard Gasquet']",['Bye']
258,Thomaz Bellucci,"['Tomas Berdych', 'Milos Raonic', 'Novak Djokovic', 'Roberto Bautista Agut', 'Pablo Cuevas', 'Rafael Nadal', 'Victor Estrella', 'Novak Djokovic', 'Simone Bolelli', 'Alexandr Dolgopolov', 'Andy Murray', 'Gael Monfils', 'Rafael Nadal', 'David Goffin', 'Alexander Zverev', 'David Ferrer', 'Alexander Zverev', 'Paolo Lorenzi', 'Mischa Zverev', 'Malek Jaziri', 'Samuel Groth', 'John Isner', 'Novak Djokovic', 'Martin Klizan', 'Jiri Vesely', 'David Ferrer', 'Kei Nishikori']","['Jiri Vesely', 'Teymuraz Gabashvili', 'Yuichi Sugita', 'Mikhail Youzhny', 'Denis Istomin', 'Giovanni Lapentti', 'Horacio Zeballos', 'Albert Montanes', 'Pablo Cuevas', 'Lleyton Hewitt', 'Pablo Cuevas', 'James Ward', 'Yoshihito Nishioka', 'Kimmer Coppejans', 'Stephane Robert', 'Pablo Andujar', 'Elias Ymer', 'Christian Lindell', 'Francis Tiafoe', 'Jiri Vesely', 'Jeremy Chardy', 'Diego Sebastian Schwartzman', 'Roberto Bautista Agut', 'Marcos Baghdatis', 'Denis Istomin', 'Albert Ramos', 'Santiago Giraldo', 'Joao Sousa', 'Marinko Matosevic']"
259,Tim Puetz,['Donald Young'],['Bye']
260,Tim Smyczek,"['Fabio Fognini', 'Lucas Pouille', 'Philipp Kohlschreiber', 'Jo Wilfried Tsonga', 'Milos Raonic', 'Jan Hernych', 'Jiri Vesely', 'Rafael Nadal', 'Alexandr Dolgopolov', 'Ricardas Berankis', 'Teymuraz Gabashvili', 'Alexandr Dolgopolov', 'Kevin Anderson']","['Benjamin Becker', 'Adrian Menendez Maceiras', 'James Ward', 'Luke Saville', 'Stefan Kozlov']"
261,Tobias Kamke,"['Tomas Berdych', 'Bernard Tomic', 'Benjamin Becker', 'Joao Sousa', 'Pablo Andujar']",['Vincent Millot']
262,Tomas Berdych,"['Alexandr Dolgopolov', 'Andy Murray', 'Novak Djokovic', 'Gilles Simon', 'Donald Young', 'Stanislas Wawrinka', 'Roger Federer', 'Andy Murray', 'Ivo Karlovic', 'Novak Djokovic', 'Richard Gasquet', 'Andy Murray', 'Rafael Nadal', 'Roger Federer', 'Novak Djokovic', 'David Ferrer', 'Simone Bolelli', 'Pablo Cuevas', 'Jo Wilfried Tsonga', 'Roger Federer', 'Kei Nishikori', 'Novak Djokovic']","['Alexander Zverev', 'Grigor Dimitrov', 'Marcos Baghdatis', 'Jack Sock', 'Thomaz Bellucci', 'Tommy Robredo', 'Jack Sock', 'Gilles Simon', 'Edouard Roger Vasselin', 'Jo Wilfried Tsonga', 'Jeremy Chardy', 'Nicolas Mahut', 'Pablo Andujar', 'Tobias Kamke', 'Andreas Seppi', 'Gael Monfils', 'Gilles Simon', 'Sergiy Stakhovsky', 'Steve Johnson', 'Lukas Rosol', 'Hyeon Chung', 'Bernard Tomic', 'Gael Monfils', 'Juan Monaco', 'Victor Estrella', 'Borna Coric', 'Jeremy Chardy', 'Simone Bolelli', 'Sergiy Stakhovsky', 'Bjorn Fratangelo', 'Jurgen Melzer', 'Guillermo Garcia Lopez', 'Austin Krajicek', 'Jiri Vesely', 'Tommy Robredo', 'Guillermo Garcia Lopez', 'Alejandro Falla', 'Jurgen Melzer', 'Viktor Troicki', 'Bernard Tomic', 'Rafael Nadal', 'Richard Gasquet', 'Jo Wilfried Tsonga', 'John Isner', 'Matteo Donati', 'Fabio Fognini', 'Sergiy Stakhovsky', 'Roberto Bautista Agut', 'Milos Raonic', 'Gael Monfils', 'Denis Istomin', 'Blaz Kavcic', 'Richard Gasquet', 'Andreas Seppi', 'Yoshihito Nishioka', 'Radek Stepanek', 'Benoit Paire']"
263,Tommy Haas,"['Kevin Anderson', 'Milos Raonic', 'Andreas Seppi', 'Fernando Verdasco', 'Jo Wilfried Tsonga', 'Adrian Mannarino', 'Pablo Carreno Busta', 'Donald Young', 'Bernard Tomic']","['Dusan Lajovic', 'Mikhail Kukushkin']"
264,Tommy Paul,['Andreas Seppi'],['Bye']
265,Tommy Robredo,"['Tomas Berdych', 'Jo Wilfried Tsonga', 'Martin Klizan', 'John Millman', 'Andy Murray', 'Milos Raonic', 'Alexandr Dolgopolov', 'Andreas Seppi', 'Benoit Paire', 'Tomas Berdych', 'Andreas Haider Maurer', 'Edouard Roger Vasselin', 'Benoit Paire', 'Nicolas Almagro', 'Benoit Paire', 'Milos Raonic', 'Nicolas Almagro', 'Milos Raonic', 'John Millman', 'Borna Coric']","['Pablo Andujar', 'Sam Querrey', 'Mikhail Kukushkin', 'Marcel Granollers', 'Feliciano Lopez', 'Andrey Golubev', 'Grigor Dimitrov', 'Ricardas Berankis', 'Michael Berrer', 'Samuel Groth', 'Hiroki Moriya', 'Simone Bolelli', 'Elias Ymer', 'Albert Ramos', 'Paul Henri Mathieu', 'Alexander Zverev', 'Renzo Olivo', 'Alexander Zverev', 'Andreas Seppi', 'Marcel Granollers', 'Mikhail Youzhny', 'Marcos Baghdatis', 'Andrey Golubev']"
266,Toni Androic,"['Joao Sousa', 'Marcos Baghdatis']",['Bye']
267,Vasek Pospisil,"['Grigor Dimitrov', 'Richard Gasquet', 'Andy Murray', 'John Isner', 'Feliciano Lopez', 'Andy Murray', 'Andy Murray', 'Grigor Dimitrov', 'Julien Benneteau', 'Gilles Muller', 'Novak Djokovic', 'Andreas Haider Maurer', 'Marcel Granollers', 'Guillermo Garcia Lopez', 'Joao Sousa', 'Dominic Thiem', 'John Isner', 'Marcos Baghdatis', 'Martin Klizan', 'Roberto Bautista Agut', 'Rafael Nadal', 'Joao Sousa']","['Denis Kudla', 'Simone Bolelli', 'Vincent Millot', 'Fabio Fognini', 'James Ward', 'Viktor Troicki', 'Yen Hsun Lu', 'Yasutaka Uchiyama', 'Marcos Baghdatis', 'Philipp Kohlschreiber', 'Mikhail Kukushkin', 'Juan Martin Del Potro', 'Andreas Seppi', 'Marinko Matosevic', 'Sam Querrey', 'Paolo Lorenzi', 'Santiago Giraldo', 'Aljaz Bedene', 'Daniel Brands', 'Donald Young', 'Yen Hsun Lu', 'Aleksandr Nedovyesov', 'Robin Haase', 'Victor Estrella']"
268,Victor Estrella,"['Jo Wilfried Tsonga', 'Martin Klizan', 'Stanislas Wawrinka', 'Dominic Thiem', 'Michael Berrer', 'Sam Querrey', 'Michael Berrer', 'Tomas Berdych', 'Jack Sock', 'Simone Bolelli', 'Marcos Baghdatis', 'Jurgen Melzer', 'Yen Hsun Lu', 'Roberto Bautista Agut', 'John Isner', 'David Ferrer', 'Samuel Groth', 'Vasek Pospisil', 'Pablo Carreno Busta']","['Donald Young', 'Dominic Thiem', 'Marin Cilic', 'Benjamin Becker', 'Andre Ghem', 'Renzo Olivo', 'Martin Klizan', 'Thomaz Bellucci', 'Feliciano Lopez', 'Yuichi Sugita', 'Matthew Ebden', 'Viktor Troicki', 'Janko Tipsarevic', 'Nicolas Jarry', 'Simone Bolelli']"
269,Victor Hanescu,['Andreas Seppi'],['Mikhail Youzhny']
270,Viktor Troicki,"['Mardy Fish', 'Stanislas Wawrinka', 'Stanislas Wawrinka', 'Vasek Pospisil', 'Mikhail Youzhny', 'Radu Albot', 'Albert Ramos', 'Kei Nishikori', 'Donald Young', 'Daniel Gimeno Traver', 'Andy Murray', 'Sergiy Stakhovsky', 'Tomas Berdych', 'Kevin Anderson', 'Malek Jaziri', 'Guillermo Garcia Lopez', 'Victor Estrella', 'Samuel Groth', 'Gael Monfils', 'Kei Nishikori', 'John Isner', 'Teymuraz Gabashvili', 'Rafael Nadal', 'Yen Hsun Lu', 'Bernard Tomic', 'Adrian Mannarino', 'Simone Bolelli']","['Pablo Cuevas', 'Jack Sock', 'Feliciano Lopez', 'Aleksandr Nedovyesov', 'Aljaz Bedene', 'Dustin Brown', 'Simone Bolelli', 'Martin Klizan', 'Pablo Andujar', 'Simone Bolelli', 'Gilles Muller', 'Mikhail Kukushkin', 'Francis Tiafoe', 'Rajeev Ram', 'Paul Henri Mathieu', 'Marin Cilic', 'John Isner', 'Jiri Vesely', 'Leonardo Mayer', 'Daniel Garza', 'Santiago Giraldo', 'Illya Marchenko', 'Go Soeda', 'Bernard Tomic', 'Feliciano Lopez', 'Martin Klizan', 'Borna Coric', 'Alexander Zverev', 'Samuel Groth', 'Marin Cilic', 'Milos Raonic', 'Stephane Robert', 'Jan Lennard Struff']"
271,Vincent Millot,"['Vasek Pospisil', 'Tobias Kamke', 'Adrian Mannarino']",['Bye']
272,Yan Bai,"['Leonardo Mayer', 'Adrian Mannarino']",['Takuto Niki']
273,Yaraslau Shyla,['Teymuraz Gabashvili'],['Bye']
274,Yassine Idmbarek,['Mikhail Youzhny'],['Bye']
275,Yasutaka Uchiyama,"['Jiri Vesely', 'Vasek Pospisil']",['Bye']
276,Yen Hsun Lu,"['David Goffin', 'Dominic Thiem', 'Dustin Brown', 'Vasek Pospisil', 'Roberto Bautista Agut', 'Jack Sock', 'Donald Young', 'Samuel Groth', 'Adrian Mannarino', 'Mikhail Kukushkin', 'Andy Murray', 'Alexandr Dolgopolov', 'Roger Federer', 'Kei Nishikori', 'Steve Johnson', 'Ricardas Berankis', 'Vasek Pospisil', 'Albert Ramos', 'Lukas Rosol', 'David Ferrer', 'Adrian Mannarino', 'Kevin Anderson']","['Somdev Devvarman', 'Pablo Carreno Busta', 'Ruben Bemelmans', 'Andreas Seppi', 'Feliciano Lopez', 'Victor Estrella', 'Robin Haase', 'Guillermo Garcia Lopez', 'Hyeon Chung', 'Malek Jaziri', 'Juan Monaco', 'Adrian Mannarino', 'Viktor Troicki', 'Samuel Groth', 'Kevin Anderson', 'Blaz Kavcic']"
277,Yoshihito Nishioka,"['Tatsuma Ito', 'Thomaz Bellucci', 'Alexander Zverev', 'Bernard Tomic', 'Tomas Berdych']","['Paul Henri Mathieu', 'Igor Sijsling', 'Marinko Matosevic']"
278,Yuichi Sugita,"['Thomaz Bellucci', 'Blaz Kavcic', 'Radek Stepanek', 'Victor Estrella', 'Lukas Rosol', 'Rajeev Ram']","['Nicolas Barrientos', 'Ryan Harrison']"
279,Yuki Bhambri,['Andy Murray'],['Bye']
280,Ze Zhang,"['Martin Klizan', 'Jiri Vesely', 'Lleyton Hewitt', 'Novak Djokovic']",['Denis Istomin']
281,Zhizhen Zhang,['Jiri Vesely'],['Go Soeda']
