,name,losses,wins
212,Pablo Cuevas,"['Roberto Bautista Agut', 'Viktor Troicki', 'Andreas Seppi', 'Roberto Bautista Agut', 'Roger Federer', 'Denis Kudla', 'Thomaz Bellucci', 'Feliciano Lopez', 'Thomaz Bellucci', 'Mikhail Kukushkin', 'Jerzy Janowicz', 'Fabio Fognini', 'Rafael Nadal', 'Sam Querrey', 'Matthias Bachinger', 'Benoit Paire', 'Juan Monaco', 'Joao Sousa', 'Ricardas Berankis', 'Rafael Nadal', 'Albert Ramos', 'Roger Federer', 'Robin Haase', 'Fabio Fognini', 'Gael Monfils']","['Roberto Carballes Baena', 'Teymuraz Gabashvili', 'Thomaz Bellucci', 'Grigor Dimitrov', 'Jarkko Nieminen', 'Nicolas Almagro', 'Dudi Sela', 'Nicolas Almagro', 'Albert Montanes', 'Dudi Sela', 'Federico Delbonis', 'Steve Darcis', 'Guido Andreozzi', 'Pablo Carreno Busta', 'Bernard Tomic', 'Diego Sebastian Schwartzman', 'Jerzy Janowicz', 'Paolo Lorenzi', 'Jiri Vesely', 'Facundo Bagnis', 'Nicolas Almagro', 'Santiago Giraldo', 'Luca Vanni', 'Pere Riba', 'Tomas Berdych', 'Ivo Karlovic', 'Samuel Groth', 'Dominic Thiem']"
213,Paolo Lorenzi,"['Philipp Kohlschreiber', 'Nicolas Almagro', 'Jiri Vesely', 'Fernando Verdasco', 'Martin Klizan', 'Jiri Vesely', 'Gael Monfils', 'Pablo Andujar', 'Santiago Giraldo', 'Vasek Pospisil', 'Federico Delbonis', 'Pablo Cuevas', 'Diego Sebastian Schwartzman', 'Dustin Brown', 'Philipp Kohlschreiber', 'Fernando Verdasco', 'Albert Ramos', 'Gilles Muller']","['Matteo Trevisan', 'Adrian Menendez Maceiras', 'Alejandro Falla', 'Rajeev Ram', 'Alexandr Dolgopolov', 'Thomaz Bellucci', 'Steve Darcis']"
214,Paul Henri Mathieu,"['Grigor Dimitrov', 'Yoshihito Nishioka', 'Fabio Fognini', 'Viktor Troicki', 'Philipp Kohlschreiber', 'Philipp Kohlschreiber', 'Tommy Robredo', 'Philipp Kohlschreiber', 'Damir Dzumhur', 'Martin Klizan', 'Benoit Paire', 'Kei Nishikori']","['Kenny De Schepper', 'Martin Klizan', 'Federico Delbonis', 'Nicolas Almagro', 'Jeremy Chardy', 'Ernests Gulbis', 'Taro Daniel']"
215,Pere Riba,"['Daniel Elahi Galan Riveros', 'Pablo Cuevas']",['Bye']
216,Peter Gojowczyk,"['Roberto Bautista Agut', 'Guillermo Garcia Lopez', 'Matthias Bachinger']",['Alejandro Falla']
217,Philip Bester,['Gilles Muller'],['Bye']
218,Philipp Kohlschreiber,"['Gael Monfils', 'Joao Sousa', 'David Ferrer', 'Novak Djokovic', 'Vasek Pospisil', 'Andy Murray', 'Bernard Tomic', 'Roger Federer', 'Roger Federer', 'Bernard Tomic', 'Andy Murray', 'Benoit Paire', 'Andy Murray', 'Kevin Anderson', 'Joao Sousa', 'Roberto Bautista Agut', 'Jan Lennard Struff', 'Roberto Bautista Agut', 'Jo Wilfried Tsonga', 'Gael Monfils', 'Roger Federer', 'Pablo Andujar']","['Santiago Giraldo', 'Paolo Lorenzi', 'Andrey Kuznetsov', 'Benoit Paire', 'Tim Smyczek', 'Alexander Zverev', 'Lukas Rosol', 'Jan Lennard Struff', 'Santiago Giraldo', 'Fabio Fognini', 'Dominic Thiem', 'Paul Henri Mathieu', 'Paul Henri Mathieu', 'Jiri Vesely', 'Alexander Zverev', 'David Goffin', 'Gerald Melzer', 'Alejandro Falla', 'Donald Young', 'Paul Henri Mathieu', 'Mikhail Kukushkin', 'Aslan Karatsev', 'Robin Haase', 'John Millman', 'Paolo Lorenzi', 'Stanislas Wawrinka', 'Alexandr Dolgopolov', 'Jerzy Janowicz', 'Jerzy Janowicz', 'Go Soeda']"
219,Pierre Hugues Herbert,"['Roberto Bautista Agut', 'Bernard Tomic', 'Roberto Bautista Agut', 'Kevin Anderson', 'Guillermo Garcia Lopez', 'Gilles Simon']","['Hyeon Chung', 'Sergiy Stakhovsky', 'Marcos Baghdatis', 'Aljaz Bedene', 'Pablo Carreno Busta', 'Steve Johnson', 'Sergiy Stakhovsky']"
220,Quentin Halys,"['James Duckworth', 'Rafael Nadal']",['Bye']
221,Radek Stepanek,"['Stanislas Wawrinka', 'Aljaz Bedene', 'David Ferrer', 'Ivo Karlovic', 'Marsel Ilhan', 'Fabio Fognini', 'Jack Sock', 'Roberto Bautista Agut', 'John Isner', 'Tomas Berdych']","['Yuichi Sugita', 'Edouard Roger Vasselin', 'Samuel Groth', 'Dennis Novak', 'Farrukh Dustov', 'Christopher Eubanks', 'Ivan Dodig']"
